images,name,url,webshop,price,image_urls,desc
"[{'url': 'http://img.informatique.nl/110/266006.jpg', 'path': 'full/2b4c44449e1c429520f361e584243452c0b38fbf.jpg', 'checksum': '1c6c7e3c76a852b108fd9a00b6299530'}]",CoolerMaster Vanguard,http://www.informatique.nl/266006/coolermaster-vanguard.html,Informatique,"€ 153,00",http://img.informatique.nl/110/266006.jpg,"850 Watt,Modulair,80+ Efficiency"
"[{'url': 'http://img.informatique.nl/110/537867.jpg', 'path': 'full/bec01d0df39f07f00c806d6584c337b03f9f22ef.jpg', 'checksum': 'd7e3f68c7c1f86344f10d0337a271f7e'}]",Corsair CS650M,http://www.informatique.nl/537867/corsair-cs650m.html,Informatique,"€ 88,00",http://img.informatique.nl/110/537867.jpg,
"[{'url': 'http://img.informatique.nl/110/538626.jpg', 'path': 'full/666cdd591142e1a5db5a2cbee2aded7a2469de10.jpg', 'checksum': 'a51b22d87d2039e7ada2f0b9f5643d1a'}]",Be Quiet! System Power 7 450W,http://www.informatique.nl/538626/be-quiet-system-power-7-450w.html,Informatique,"€ 56,00",http://img.informatique.nl/110/538626.jpg,"ATX ,450 Watt,80+ Efficiency,120mm Fan"
"[{'url': 'http://img.informatique.nl/110/538634.jpg', 'path': 'full/7295809a6e0d1a1600f36bb9f2b53d001c220365.jpg', 'checksum': '29c1e48a5abcd52862ff8a1409995bcb'}]",Be Quiet! TFX Power 2 300W Brons,http://www.informatique.nl/538634/be-quiet-tfx-power-2-300w-brons.html,Informatique,"€ 49,00",http://img.informatique.nl/110/538634.jpg,"TFX ,300 Watt,80+ Efficiency,80mm Fan"
"[{'url': 'http://img.informatique.nl/110/543549.jpg', 'path': 'full/f0a6ab1dd00af4bdd9668b97a8123f1a7426d2d6.jpg', 'checksum': 'ce36e870def143caabe157ca89f1100a'}]",Corsair Builder Series VS450,http://www.informatique.nl/543549/corsair-builder-series-vs450.html,Informatique,"€ 34,99",http://img.informatique.nl/110/543549.jpg,
"[{'url': 'http://img.informatique.nl/110/557086.jpg', 'path': 'full/f30f59efa00486af4450e84737e77deb8d425041.jpg', 'checksum': 'b76448cdd7684c4470ee486e6df78c33'}]","XFX Core Edition Pro 650 Watt, ATX",http://www.informatique.nl/557086/xfx-core-edition-pro-650-watt-atx.html,Informatique,"€ 77,00",http://img.informatique.nl/110/557086.jpg,"ATX ,650 Watt,80+ Efficiency,135mm Fan"
"[{'url': 'http://img.informatique.nl/110/561683.jpg', 'path': 'full/5e02d06f465ebccebee59bc99bb9ade1255191f2.jpg', 'checksum': '6d2e9dbce153196616ccb51325d76326'}]",Be Quiet! Power Zone 1000W,http://www.informatique.nl/561683/be-quiet-power-zone-1000w.html,Informatique,"€ 159,00",http://img.informatique.nl/110/561683.jpg,"ATX ,1000 Watt,Modulair,80+ Efficiency"
"[{'url': 'http://img.informatique.nl/110/892210.jpg', 'path': 'full/15a5b70b6d7fdd02c35902db26a91d73f9a9387a.jpg', 'checksum': '20334685aa08fa4dd4a8db01781d5b49'}]",Antec EarthWatts 380,http://www.informatique.nl/892210/antec-earthwatts-380.html,Informatique,"€ 44,00",http://img.informatique.nl/110/892210.jpg,"ATX ,380 Watt,80+ Efficiency,80mm Fan"
"[{'url': 'http://img.informatique.nl/110/893655.jpg', 'path': 'full/e11d1cd724ea51b8ccaa3f3787c5b7eb3fb377af.jpg', 'checksum': '27f64b37c2bd128a7c083a0830320608'}]",Enermax NAXN 80+ 550W ATX,http://www.informatique.nl/893655/enermax-naxn-80-550w-atx.html,Informatique,"€ 61,00",http://img.informatique.nl/110/893655.jpg,
"[{'url': 'http://img.informatique.nl/110/925157.jpg', 'path': 'full/73a816d7a3994bac44cc9ab211aa44575f3b8467.jpg', 'checksum': '14fd70621d5ca8ef0a260bbfcc518c30'}]",Be Quiet! Pure Power L8 350W,http://www.informatique.nl/925157/be-quiet-pure-power-l8-350w.html,Informatique,"€ 46,00",http://img.informatique.nl/110/925157.jpg,"ATX ,350 Watt,80+ Efficiency,120mm Fan"
