url,price,name,desc
/productinfo/149845/asus-m5a78l-m-lx3,"€ 43,50",ASUS M5A78L-M LX3,"Micro ATX, Socket AM3+, DDR3, AMD 760G"
/productinfo/124768/asus-m5a97-evo,,ASUS M5A97 Evo,"ATX, Socket AM3+, DDR3, AMD 970"
/productinfo/195155/asus-maximus-vi-gene-c2,"€ 170,86",ASUS Maximus VI Gene (C2),"Micro ATX, Socket 1150, DDR3, Intel Z87"
/productinfo/5/asus-p4c800-deluxe,,ASUS P4C800 Deluxe,"Socket 478, Intel 875P"
/productinfo/263/asus-p4pe,,ASUS P4PE,"Socket 478, Intel 845PE"
/productinfo/24614/asus-p5e-deluxe,,ASUS P5E Deluxe,"ATX, Socket 775, DDR2, Intel X48"
/productinfo/57611/asus-p5kpl-am-secsi,,ASUS P5KPL-AM SE/C/SI,"Micro ATX, Socket 775, DDR2, Intel G31"
/productinfo/26676/asus-p5q3-deluxewifi-ap@n,,ASUS P5Q3 Deluxe/WiFi-AP@n,"ATX, Socket 775, DDR3, Intel P45"
/productinfo/122184/asus-p8z68-v-pro,,ASUS P8Z68-V Pro,"ATX, Socket 1155, DDR3, Intel Z68"
/productinfo/149542/asus-p8z77-v-le,,ASUS P8Z77-V LE,"ATX, Socket 1155, DDR3, Intel Z77"
/productinfo/124486/asus-sabertooth-990fx,"€ 165,00",ASUS Sabertooth 990FX,"ATX, Socket AM3+, DDR3, AMD 990FX"
/productinfo/219930/asus-z97-c,"€ 125,70",ASUS Z97-C,"ATX, Socket 1150, DDR3, Intel Z97"
/productinfo/796/dfi-lanparty-ut-nf4-ultra-d,,DFI LanParty UT nF4 Ultra-D,"ATX, Socket 939, Nvidia nForce 4 Ultra"
/productinfo/242050/evga-z97-ftw,"€ 244,11",EVGA Z97 FTW,"DDR3, Intel Z97"
/productinfo/24347/gigabyte-ep45-ds3r,,Gigabyte EP45-DS3R,"ATX, Socket 775, DDR2, Intel P45"
/productinfo/202690/gigabyte-g1sniper-z87,"€ 150,94",Gigabyte G1.Sniper Z87,"ATX, Socket 1150, DDR3, Intel Z87"
/productinfo/85771/gigabyte-p55a-ud3,,Gigabyte P55A-UD3,"ATX, Socket 1156, DDR3, Intel P55"
/productinfo/218752/gigabyte-z97n-wifi,"€ 131,47",Gigabyte Z97N WiFi,"Mini ITX, Socket 1150, DDR3, Intel Z97"
/productinfo/218856/gigabyte-z97x-gaming-gt,"€ 239,39",Gigabyte Z97X Gaming GT,"ATX, Socket 1150, DDR3, Intel Z97"
/productinfo/11365/via-epia-cn10000eg,,VIA EPIA CN10000EG,
